a,a:一|d:一道
great burdock,n:牛蒡
great calamity,"n:浩劫,巨祸,洪灾"
great calorie,n:大卡
great change,n:巨变
great cold,n:大寒
great confucian scholar,n:鸿儒
great confusion,n:天下大乱
great cordiality,n:厚意
great debate,n:大辩论
great delicacies,n:龙肝凤髓
great disparity,n:悬殊
great divide,"n:生死线,分界线"
great expectations,n:厚望
great fame,n:盛誉
great favours,n:大德
great fellow,n:好样儿的
great friend,n:相知
great game,n:高尔夫球
great grandfather,n:太公
great guns,n:哎哟
great handsome appearance,n:龙章凤姿
great happiness,"n:洪福齐天,洪福"
great harmony,n:大同
great heat,n:大暑
great hope,n:厚望
great hypocrite,n:老奸巨猾
great in,"n:擅长,精通"
great lakes,n:五大湖
great majority,n:大多数
great man,"n:巨子,伟人"
great mansion,n:宸
great mass fervor,n:热潮
great mass fervour,n:热潮
great master,"n:宗师,大家,大师傅,大师,宗"
great misfortune,n:大祸
great name,n:名人
great number,"n:高额,大数"
great number of,"n:许多,大量"
great occasion,n:大庆
great on,"n:擅长,精通"
great personage,n:大人物
great plan,n:弘图
great plans,n:鸿图
great power,"n:大国,大功率,伟力"
great president,n:大总统
great prix,n:大奖
great proficiency,n:硬功夫
great rejoicing,n:欢腾
great scourges,n:洪水猛兽
great side money,n:横财
great significance,n:意味深长
great snow,n:大雪
great soldier,n:名将
great speech,n:至理名言
great storms,n:大风大浪
great strength,"n:牛劲,鼎力"
great suffering,n:涂炭
great talent,"n:大略,大器"
great truth,n:大道理
great unity,n:大同
great vehicle,"n:上乘,大乘"
great victory,n:大捷
great vitality,n:大气磅礴
great wall,n:长城
great wave,n:浪涛
great waves,"n:波涛,涛,波澜"
great wish,n:弘愿
great works,n:雄文
great worry,n:殷忧
great writer,n:文豪
great year,n:大年
great-aunt,n:姑婆
greater administrative area,n:大行政区
greater administrative areas,n:大行政区
greater circulation,"n:大循环,体循环"
greater part,"n:大半,大部|a:大部"
greater than,a:大于
greatest,"a:莫大,太|d:太"
greatest outrage,n:大逆不道
great-grand children,n:曾孙
great-grand daughter,n:曾孙女
great-grand mother,n:曾祖母
great-grand parents,n:曾祖
great-grandchild,"n:曾孙女,曾孙"
great-granddaughter,"n:重孙女,曾孙女"
great-grandfather,"n:曾祖父,曾父"
great-grand-father,n:曾祖父
great-grandmother,"n:曾祖母,太婆"
great-grandparent,"n:曾祖,曾祖母"
great-grandson,"n:曾孙,重孙"
great-great grandmother,n:高祖母
great-great-grandfather,n:高祖
great-greet-grandson,n:玄孙
greatly,"d:大,非常,大大,大为,甚,深,盛,老大|v:盛"
greatly admire,"v:激赏,倾倒"
greatly discerning,n:大悟
greatly discouraged,a:意懒心灰
greatly elated,a:心花怒放
greatly mistaken,a:大谬不然
greatly perplexed,a:方寸已乱
great-nephew,n:侄孙
greatness,"n:伟大,大,高尚,巨大"
great-seal,n:御玺
greaves,n:油渣
greda,n:白垩
gree,"n:胜利,杰出|v:同意"
greece,n:希腊
greed,"n:贪婪,贪心|a:贪心"
greediness,n:贪吃
greedy,"a:贪婪,贪,贪心,贪嘴,馋,嘴馋,婪,下作,饕,馋嘴,餮|v:贪欲,贪"
greedy persons,n:饕餮之徒
greek,"n:希腊语,一窍不通"
greek alphabet,n:希腊字母
greek calends,"n:永不,从不"
greek characters,n:希腊字母
greek to somebody,n:天书
green,"n:绿色,草地,蔬菜|a:生,绿茸茸,绿生生,绿茵茵,绿葱葱,碧油油,绿莹莹|v:少不更事,绿化"
green bamboo,"n:绿竹,翠竹"
green bamboo snake,n:竹叶青
green bamboo strip,n:青
green bean,n:青豆
green bean porridge,n:绿豆粥
green beans,n:青豆
green been cake,v:绿豆糕
green book,n:绿皮书
green brick,n:砖坯
green bristle grass,n:狗尾草
green bristlegrass,n:莠
green chinese onion,v:大葱
green color,n:绿色
green field,n:绿地
green fly,n:蟑螂
green fodder,n:青饲料
green foxtail,n:狗尾草
green gram,n:绿豆
green grass,"n:青,芳草"
green hand,n:生手
green hands,n:新手
green hill,n:青山
green jade,n:碧
green land,"n:牧场,绿地"
green leaf,n:绿叶
green light,"n:放行,绿矾,准许"
green lung,n:公园
green manure,n:压青
green onion,"n:大葱,青蒜"
green paper,n:绿皮书
green pea,n:豌豆
green pepper,"n:灯笼椒,青椒"
green plant,n:绿色植物
green soya bean,n:青豆
green syrup,n:糖蜜
green vitriol,"n:绿矾,硫酸亚铁"
green weed,n:绿藻
greenback,n:美钞
greener,a:生手
greenery,"n:绿叶,植物"
green-grey,a:蟹青
greenhorn,"n:生手,门外汉"
greenhouse,"n:温室,暖房,洞子,花房"
greening,n:绿化
greenish orchid,n:碧蓝
greenish yellow,n:苍黄
greenland,n:格陵兰
greenness,"n:鲜绿色,绿色,新鲜"
greenroom,n:后台
greens,"n:菜,菜蔬,青菜,蔬菜"
greensickness,n:黄萎病
greenstone,n:软玉
greenstuff,n:蔬菜
greenstuffs,"n:草木,蔬菜"
greensward,"n:草地,草坪,草皮"
green-sward,"n:草地,草皮"
greenwich,n:格林威治
greenwich mean time,n:格林威治时间
greenwood,n:绿林
greenwood hero,n:草莽英雄
greenwood uprising,n:绿林起义
greet,"v:迎接,打招呼,欢迎,问候,招呼,致敬,迎,叫,迎候"
greet disturbance,v:轩然大波
greet somebody,v:打招呼
greet works,v:雄文
greeting,"n:问候,称呼,敬礼"
greetings,n:贺词
gregarious,a:群居
gregorain calendar,n:西历
gregorian calendar,n:西历
gremlin,n:小鬼
grenade,"n:手榴弹,催泪弹,榴弹,灭火弹"
grenadine,n:糖浆
grey,"n:灰|a:花白,苍苍"
grey cloth,n:坯布
grey crane,n:灰鹤
grey fabric,n:坯布
grey iron,n:灰口铁
grey matter,"n:灰质,智力,头脑"
grey scale,n:灰度
grey-haired,"a:白发苍苍,白发"
greyish,n:华|a:华
greyly,d:灰
greyness,n:灰色
grice,n:仔猪
grid,"n:电力网,箅子,格子,格,栅极"
grid electrode,n:栅极
grid mesh,n:网眼
griddle,"n:鏊子,筛子|v:筛"
griddlecake,"n:烤饼,薄饼"
gridiron,n:支子
grief,"n:悲伤,悲哀,痛苦,忧伤,忧愁,悲,哀痛,痛,哀思,不幸,灾难,困难,沉痛,哀,麻烦|a:痛,哀痛"
grievance,"n:冤情,不满,抱怨,怨气,牢骚,不平,恩怨,苦难|a:不平"
grieve,"v:伤心,悲伤|n:监工"
grieve over,"v:哀悼,哀,追念,悼念"
grieved,"v:酸,酸楚,悲痛,悄,凄恻,哀伤,撕心裂肺,惨然|a:悲痛,惨然,酸楚,哀伤,凄恻,心酸"
grievous,"a:严重,惨无人道,惨重,悲哀"
grievous news,n:噩耗
griffin,n:生手
griffon vulture,n:兀鹫
grift,v:欺骗|n:诈骗
grifter,"n:骗子,小偷"
grifulvin,n:灰黄霉素
grill,v:烤|n:烤肉
grille,"n:孵卵器,铁门,网屏"
grilled,v:炙烤|a:炙烤
grilled meat,n:烤肉
grim,"a:冷酷,严酷,严峻,厉"
grim smile,n:狞笑
grimace,"n:鬼脸,怪相,愁眉苦脸"
grimalkin,n:猫
grime,"n:污垢,泥垢|v:腻"
grimness,n:严格
grimy,a:腻
grin,"v:咧,含笑"
grin all over,v:眉开眼笑
grin hideously,v:狞笑
grin sharer,v:粮户
grin with dissatisfaction,n:冷笑
grind,"v:磨,研,碾,研磨,折磨,转动|n:刻苦,用功,苦差,开玩笑,苦活,讥讽"
grind down,"v:磨,折磨,碾碎"
grind one's teeth,v:咬牙
grind out,v:苦学
grinder,"n:磨床,粉碎机,磨工,牙齿,碾,臼齿"
grinding,"n:摩擦,磨削,研磨,粉碎|a:粉碎|v:磨光"
grinding compound,n:磨料
grinding material,n:磨料
grinding teeth,n:磨牙
grinding tooth,n:啮齿
grinding wheel,n:砂轮
grindle,n:沟渠
grindstone,n:砂轮
grinning,a:笑嘻嘻
grinning cheekily,n:嬉皮笑脸
grip,"n:控制,掌握,夹,理解力,手提包,支配,把,握力|v:咬住,攥,把握,了解"
gripe,"n:紧握,制动器,把手,柄,不平,愤怒|v:发牢骚,压迫,激怒,诉苦,握紧"
grippe,n:流感
gripper,n:夹具
gripping appliance,n:夹具
gripping device,n:夹具
gripsack,"n:旅行包,手提包"
griseofulvin,n:灰黄霉素
grisliness,n:可怕
grisovin,n:灰黄霉素
grist,"n:麦芽,许多,大量"
gristle,"n:脆骨,软骨"
grit,"n:沙子,勇气,种,沙砾,砂砾,砂,刚毅|v:研磨,摩擦,轧"
grit one's teeth,"v:咬紧牙关,咬牙切齿,咬牙"
grits,n:玉米粥
gritty,a:牙碜
grizzle,"v:啼哭,烦恼,烦躁|n:灰色"
grizzled,a:花白|v:华
grmnasium,n:体育馆
groan,"v:呻吟|n:叹息|d:吱,咯吱|i:哼"
groat,n:少量
groceries,"n:杂货,杂品"
grocery,"n:杂货,杂货店,食品店,副食品"
grocery store,n:杂货店
grog,"n:熟料,耐火材料"
grog blossom,n:酒渣鼻
groggery,n:酒店
groggy,a:头昏眼花
grogshop,n:酒店
groin,"n:腹股沟,防波堤,鼠蹊,海堤,丁坝"
grok,v:理解
grommet,n:垫圈
gromwell,n:紫草
groom,"v:培训,修饰|n:男仆"
groomsman,"n:伴郎,男傧相"
groove,"n:沟,凹槽,习惯,车辙,常规,槽,矿井,沟纹,惯例,矿山|v:灌"
groover,n:矿工
grope,"v:摸索,探索,摸|n:摸索,探索"
grope about,v:摸索
grope after,"v:摸索,探索"
grope for,"v:探索,摸索,摸"
grosbeak,n:蜡嘴雀
grosgrain,n:罗缎
gross,"a:毛,总的,总|v:收入,总计|n:总额"
gross amount,n:总额
gross area,n:总面积
gross income,n:毛利
gross load,n:毛重
gross mistake,n:大谬不然
gross product,n:总产量
gross profit,n:毛利
gross ton,v:总吨位
gross value,n:总值
gross weight,n:毛重
grossly,d:非常
grossly exaggerated,a:荒唐
grossly mistaken,a:大谬不然
grotesque,"a:怪模怪样,不伦不类|n:怪象"
grotesqueness,n:奇特
grotesquerie,"n:怪异,怪诞"
grotesquery,n:怪异
grotto,"n:岩洞,石窟,洞穴,穴"
grouan,n:卵石
grouch,"n:不满,怨气,牢骚|v:发牢骚"
grouchy,a:闹别扭
ground,"n:地面,地,土地,理由,大地|v:打基础,着陆"
ground connection,n:接地
ground contact,n:接地
ground discharge,n:霹雳
ground duty,n:地勤
ground electrode,n:地线
ground finish,n:磨光
ground floor,n:底层
ground form,n:地貌
ground glass,n:玻璃粉
ground hemlock,n:紫杉
ground lead,n:地线
ground line,n:基线
ground manure,n:底粪
ground meat,n:肉馅
ground met,n:肉馅
ground motion,n:地动
ground mustard,n:芥末
ground net,n:拖网
ground note,n:基音
ground plan,"n:平面图,草案"
ground rent,"n:徭役地租,租子"
ground rule,n:程序
ground service,n:地勤
ground station,n:地面站
ground stove,n:地炉
ground strap connection,n:接地
ground surface,n:地面
ground tumbling,v:垫上运动
ground wire,n:地线
ground zero,v:弹着点
groundball,n:地滚球
grounder,n:地滚球
groundhog,n:土拨鼠
grounding,"n:基础,底子|v:接地"
groundless,"a:凭空,莫须有,平白无故,飞,风|v:飞|n:风"
groundless allegation,n:谣言
groundless rumour,n:讹传
groundless statement,n:无稽之谈
groundless talk,"n:风言风语,风风雨雨,白话"
groundless talking,n:无稽之谈
groundless worry,n:杞人忧天
groundlessly,"d:凭空,瞎,平白无故"
groundline,n:干线
groundnut,"n:花生,落花生"
groundnut kernels,n:花生仁
grounds,"n:庭园,根据"
groundsill,n:地基
groundwater,n:地下水
groundwork,n:基础
group,"n:小组,群,组,集团,团体,群体,起,队,集体,批|v:成群,配合,编"
group army,n:集团军
group by group,a:成批
group carving,v:群雕
group dancing,n:群舞
group gambling,v:聚赌
group head,n:组长
group of,n:群
group of buildings,n:楼群
group of ovums,n:卵块
group photo,n:合影
group portrait,n:群像
group together,v:归总
grouper,n:石斑鱼
grouping,"n:搁浅,集团,接地|v:分组,成群,集聚"
grouse,"n:松鸡|v:抱怨,发牢骚"
grout,v:灌浆|n:石灰浆
grout mixer,n:拌浆机
grouting,v:灌浆
grouting up,n:灌浆
grove,"n:树林,树丛,林子,园林,树行子,丛,林"
grovel,"v:拜倒,卑躬屈节,摇尾乞怜,跪倒,请求,奴颜婢膝,趴"
groves of bamboo,n:竹林
grow,"v:长,生长,种,长大,增长,种植,发展,成长,产生,增加,起,变成,栽培,生,留,发育,出现,形成,培养,出落,滋长,壮大,下去,蓄,栽,发芽,培育,滋,兴起,栽种,植,生息,秧,艺,殖,息,养"
grow apprehensive,v:发憷
grow better,v:渐入佳境
grow bold,v:猖獗
grow cotton,v:种花
grow crazy,v:发疯
grow dark,v:暝
grow dim,v:发花
grow down,"v:缩小,减少"
grow exist,n:生息
grow fat,v:发福
grow flower,v:种花
grow healthily,v:茁
grow in,v:增加
grow luxuriantly,"v:欣欣向荣,荣"
grow old,v:衰老
grow out of,v:抛弃
grow perceptibly,v:见长
grow permanent teeth,"v:龀,龆"
grow seedlings,v:育苗
grow stealthily,v:潜滋暗长
grow stout,v:发福
grow sturdily,v:茁
grow tired of,v:厌倦
grow to maturity,v:成长
grow up,"v:成长,兴起,成年,生长,成人"
grow vigorously,v:勃兴
grow warm,v:兴奋
grow wild,v:野生
grower,n:植物
growing,"v:成长,发达,发育"
growing more prosperous,n:欣欣向荣
growing period,n:生长期
growl,"v:咆哮,鸣不平,轰鸣,怒吼|n:筛子,咆哮,不平"
growlery,n:轰鸣
grown,a:成熟
grown-up,"n:大人,成年人"
growth,"n:生长,增长,发展,成长,发育,瘤,培养,分枝,长势,产物,栽培|v:生长,发育"
growth hormone,n:生长激素
growth of live-stock,n:膘情
growth period,n:生长期
growth ring,n:年轮
groyne,"n:防波堤,海堤,丁坝"
grub,"n:掘,蛴螬,土蚕,地蚕|v:挖掘,除根,掘"
grube,n:矿井
grubstake,"n:贷款,资金"
gruch,n:积怨
grudge,"n:怨恨|v:怨,怨尤,怀恨,怨艾,怨望,妒忌,羡慕,怨恨"
grudging,a:不愿
grudgingly,d:勉强
grue,v:战栗|n:雪
gruel,"n:糜,餬|v:累倒,惩罚"
grueling,"a:惩罚,痛打"
gruelling,a:痛打
gruesome,a:阴森
gruff,"a:粗鲁,粗暴,粗重,倔,粗"
grumble,"v:抱怨,发牢骚|n:不平,牢骚,怪话"
grume,n:黏液
grump,v:发牢骚|n:发火
grunt,"n:咕哝,牢骚,猪肉|v:咕哝"
grunting,d:咕噜|v:咕噜
grutch,n:嫌隙|v:发牢骚
gruziya,n:格鲁吉亚
grysbok,n:羚羊
gu,"n:谷,古"
guage,n:线规
guam,n:关岛
guan,n:关
guandong food,n:粤菜
guandong opera,n:粤剧
guandu,n:官渡
guangdong embroidery,n:粤绣
guangxi,"n:光绪,广西"
guangxi province,n:桂
guangzhou,"n:广州,广"
guanidine,n:胍
guanyin,"n:观世音,观音"
guarantee,"v:保,允诺,管,包管|n:担"
guarantee against,v:担保
guarantee certificate,n:保证书
guarantee complete success,n:万无一失
guarantee deposit,n:押金
guarantee for,"v:担保,保证"
guarantee paper,n:保证书
guarantees,n:抵押品
guarantor,"n:保证,保人,担保人,保,保证人|v:保"
guaranty,"n:保证,保证书,抵押品"
guaranty money,n:保证金
guard,"v:卫,卫护,把,扼守,防守,护,监守,防卫,戍守,镇|n:警备"
guard a pass,v:把关
guard against,"n:警,戒,毖|v:防备"
guard boat,"n:巡逻艇,警戒艇"
guard of honor,n:仪仗队
guard of honour,n:仪仗队
guard room,"n:警卫室,禁闭室"
guard the door,v:把门
guard the emperor,v:护驾
guard the entrance,v:看门
guarder,"n:监护人,卫兵"
guardhouse,"n:警卫室,禁闭室"
guardian,"n:监护人,保护人,管理员"
guardianship,"v:监护,守护|n:守护"
guardrail,n:栏杆
guard-rail,n:栏杆
guards of honour,n:仪仗队
guard's van,n:守车
guardsman,"n:卫兵,哨兵"
guatemala,n:危地马拉
gubbins,"n:食物,碎块,装置,果皮,废物"
gudgeon,"n:鲍,傻子,诱饵,饵,枢轴"
gudgeon block,n:轴承
guerdon,"n:奖赏,报酬|v:奖赏"
guerrilla force,n:游击队
guerrilla forces,n:游击队
guerrilla theater,n:活报剧
guerrillaism,n:游击战
guess,"v:猜,猜测,猜想|n:推测"
guess a riddle,"v:猜谜儿,猜谜"
guess blindly,v:瞎猜
guess right,v:猜中
guess stick,v:计算尺
guess without ground,v:瞎猜
guesstimate,"v:瞎猜,估摸|n:瞎猜,猜测"
guesswork,"n:猜测,推测"
guest,"n:客人,宾客,来宾,旅客,顾客,客,来客,宾朋,宾|v:招待,款待"
guest flow,n:客流
guest house,"n:客舍,招待所"
guest of honour,n:上宾
guest seat,n:来宾席
guest source,n:客源
guest star,n:客星
guest team,n:客队
guesthouse,"n:宾馆,迎宾馆,招待所"
guestimate,v:瞎猜|n:瞎猜
guests,"n:堂客,宾朋,宾客"
guff,"n:胡说,闲聊,瞎扯"
guffaw,"n:大笑,狂笑,哄笑,捧腹大笑|v:哄笑,大笑,狂笑,捧腹大笑"
guhr,n:硅藻土
guick,a:捷
guidance,"n:指导,制导,导航,引导,教导,导管,诱导,领导,指引|v:教导,诱导,指导,引导"
guide,v:指导|n:先导
guide board,n:路牌
guide gently,v:循循善诱
guide line,"n:方针,准则,指标"
guide pulley,n:导轮
guide strip,n:导轨
guide track,n:导轨
guide tube,n:导管
guide way,v:导轨
guide wheel,n:导轮
guideboard,n:路牌
guidebook,n:指南
guided missile boat,n:导弹艇
guided missile magazine,n:弹库
guided-missile,n:导弹
guideline,"n:方针,准"
guidelines,"n:方针,机宜,准则"
guidepost,"n:路标,指路牌"
guides,n:导轨
guiding,"v:定向,制导,主导,导航,导向,控制"
guiding lights,n:指示灯
guiding principle,n:指针
guiding principles,n:虚
guiding wheel,n:导轮
guidon,"n:队旗,旗手"
guild,"n:协会,行会,同业公会"
guildhall,n:会馆
guile,"n:狡诈,狡猾,狡计,诡计,滑头滑脑"
guileful talk,n:花腔
guileless,"a:朴实,光明"
guilin,n:桂林
guillemot,n:海鸠
guillotine,"n:断头台,剪床,闸刀,铡刀"
guilt,"n:罪,内疚,罪行,罪过,辜"
guiltiness,n:罪恶
guiltless,a:没有
guilty,a:内疚
guilty beyond forgiveness,n:十恶不赦
guilty conscience,n:内疚
guilty person,n:罪人
guimpe,n:衬衫
guin,n:古琴
guinea,n:几内亚
guinea corn,n:高粱
guinea pig,"n:豚鼠,天竺鼠"
guinea-bissau,n:几内亚比绍
guinea-pig,n:荷兰猪
guintal,n:公担
guipure,n:花边
guise,"n:打扮,借口,姿态,服装,外观,态度,伪装"
guitar,"n:吉他,六弦琴"
guiyang,n:桂阳
guizhou,n:贵州
guizhou province,n:黔
gula,n:咽喉
gulch,"n:深谷,峡谷"
gulden,n:盾
gules,n:红色
gulf,"n:鸿沟,深渊,海湾,分歧,隔阂,悬殊,涡|v:卷进,吞没"
gulf states,n:墨西哥湾
gulfweed,n:马尾藻
gull,"n:笨蛋,鸥,欺诈"
gullet,"n:喉,食道,咽喉,海峡,食管,水槽,齿槽,水道,咽"
gullible,a:可欺
gully,"n:沟,沟壑,山沟,涧,沟渠,阴沟"
gully drain,v:下水道
gully hole,n:沟渠
gulosity,n:贪婪
gulp,"v:狼吞虎咽,吞|n:吞咽"
gulp down sobs,v:饮泣吞声
gum,"n:口香糖,齿龈,胶水,胶,牙龈,眼眵,眼屎,树胶,树脂,牙床,橡皮糖,橡胶,齿根"
gum tree,n:桉树
gum water,n:胶水
gumbo,n:浓汤
gumdrop,n:水果糖
gummed paper,n:胶纸
gummed tape,n:胶带
gummeline,n:糊精
gumming,v:胶合
gumming dirt,n:胶泥
gummy,a:胶
gumption,"n:事业心,进取心,精明能干"
gums,n:齿龈
gumshoe,n:刑警|v:侦察
gumshoe man,"n:警察,侦探"
gumshoes,n:胶鞋
gun,"n:枪,炮,手枪,枪支,火炮,枪杆子,猎枪,加农炮,强盗,信号,罪犯|v:击倒"
gun barrel,"n:枪管,炮筒"
gun battle,n:枪战
gun bogie,n:炮车
gun bust,n:枪战
gun carriage,n:炮车
gun carrier,n:炮车
gun crew,n:炮手
gun down,v:击倒
gun fight,n:枪战
gun house,n:炮塔
gun killing,n:枪杀
gun perforation,n:射孔
gun platform,n:炮座
gun port,n:炮眼
gun powder,n:火药
gun sight,n:准星
gun signal,n:号炮
gun turret,n:炮楼
gunboat,"n:炮艇,炮舰"
gunboat diplomacy,n:炮舰外交
gundog,n:猎犬
gunfight,n:枪战
gunfire,"n:炮火,炮击"
gunflint,n:燧石
gung ho,a:热心
gunlock,n:枪机
gunner,"n:炮手,枪手,射手,炮兵"
gunnery,"n:射击,枪炮,重炮"
